sku,producto,stock_odoo,precio_odoo,costo_odoo,publicado_ml,n_publicaciones,cuentas,mlm_ids,categoria_ml_id,categoria_ml
ROP-0505-VER-130CM,DISFRAZ DE DOCTOR NIÑS MEDICO DOCTOR DISFRACES MAS ACCESORIOS VERDE 130CM,23,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0505-ROS-140CM,DISFRAZ DE DOCTOR NIÑS MEDICO DOCTOR DISFRACES MAS ACCESORIOS ROSA 140CM,15,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0505-VER-140CM,DISFRAZ DE DOCTOR NIÑS MEDICO DOCTOR DISFRACES MAS ACCESORIOS VERDE 140CM,10,1.0,,NO,0,,,MLM45962,Disfraces Completos
ACC-0877-EST,Accesorios de rol y disfraz,0,17.92,,NO,0,,,MLM457882,Pantallas
JUGU-0059-VAQ-L,DISFRAZ DE HALLOWEEN PARA PERRO VAQUERO JINETE  L,0,1.0,,NO,0,,,MLM85068,Disfraces
JUGU-0059-VAQ-M,DISFRAZ DE HALLOWEEN PARA PERRO VAQUERO JINETE  M,0,1.0,0.78,NO,0,,,MLM85068,Disfraces
JUGU-0059-VAQ-S,DISFRAZ DE HALLOWEEN PARA PERRO VAQUERO JINETE  S,0,1.0,,NO,0,,,MLM85068,Disfraces
JUGU-0146-NAR,DISFRAZ DINOSAURIO CARNAVAL FIESTA NARANJA,0,1.0,,NO,0,,,MLM45962,Disfraces Completos
ROP-0149-NEG,DISFRAZ NEKO GATO CONJUNTO DE LENCERIA CAMPANITA NEGRO 6,0,1.0,0.13,NO,0,,,MLM194124,Conjuntos
JUGU-1179-MOR,Set Disfraz Bruja Halloween Morado Oro 2 Piezas,0,46.5,46.5,NO,0,,,,
JUGU-1180-NEG,Set Disfraz Bruja Halloween Negro Oro 2 Piezas,0,46.5,46.5,NO,0,,,,
JUGU-1178-ROJ,Set Disfraz Bruja Halloween Rojo Oro 2 Piezas,0,46.5,46.5,NO,0,,,,
ROP-0928-EST-DEL,Traje de presentación/Disfraz,0,11.11,,NO,0,,,,
